,SERVICES,SERVICE_DATA,MIN_ALL,MIN_ANALYSIS,MIN_PLANNING,MIN_EXECUTION,MAX_ALL,MAX_ANALYSIS,MAX_PLANNING,MAX_EXECUTION,AVG_ALL,AVG_ANALYSIS,AVG_PLANNING,AVG_EXECUTION,STD_ALL,STD_ANALYSIS,STD_PLANNING,STD_EXECUTION
G4.2.2,25,50,1.4833000022917986e-05,0.003285041020717472,0.011875459051225334,0.005738709005527198,1.5624973457306623e-05,0.004522875009570271,0.011964874982368201,0.006484124984126538,1.4948003808967769e-05,0.003368243821209059,0.011913202925557819,0.005862263731710539,1.355342346774995e-07,9.209458793006985e-05,2.1359144458790748e-05,0.00011470393226440488
G4.2.3,25,50,1.491699367761612e-05,0.0032930420129559934,0.011800832988228649,0.005752082972321659,1.7000013031065464e-05,0.005217541998717934,0.012198542011901736,0.006695583986584097,1.5279851920370546e-05,0.0033892235896622242,0.01202285908428686,0.005894943115452085,7.628222081978493e-07,0.0001290698929453767,4.06091933908236e-05,0.0001306349814220484
G2.3.1,25,100,1.3666052836924791e-05,0.005687583005055785,0.020158749946858734,0.010721124999690801,1.6000005416572094e-05,0.007142124988604337,0.02073483302956447,0.026655416004359722,1.418340252712369e-05,0.005832266918982246,0.020560693045678948,0.01125447830165048,1.0174459850748744e-06,0.0001464749944830162,0.0001114933879734901,0.0018414005292598872
G2.3.2,25,100,1.487502595409751e-05,0.006231999956071377,0.022184207977261394,0.011786125018261373,1.5666009858250618e-05,0.007282082980964333,0.022798874997533858,0.013160041999071836,1.5066401101648807e-05,0.006381983623789812,0.0225893297870441,0.012035054596795124,3.3905224860596585e-07,0.0001495404966728878,0.0001114426290405563,0.00020698308600262927
G2.3.3,25,100,1.287501072511077e-05,0.005306124978233129,0.018794374947901815,0.009302665945142508,1.4999997802078724e-05,0.005428167001809925,0.020936625020112842,0.009370792016852647,1.334979897364974e-05,0.005398100458802907,0.019200174546501827,0.00933520032440019,9.236662725678689e-07,1.6855960266736865e-05,0.0003919126090861468,1.1225101938193657e-05
G4.2.1,25,100,1.4833000022917986e-05,0.006437041040044278,0.022811792034190148,0.012294833024498075,1.5624973457306623e-05,0.007076458015944809,0.023850917001254857,0.01351487496867776,1.4972763333039788e-05,0.006539890232040727,0.023268943860975288,0.012406180045038554,1.48547688045645e-07,6.279184090909065e-05,0.00014023689451959535,0.00019836864253565344
G4.2.2,25,100,1.4874967746436596e-05,0.006421583006158471,0.022982166963629425,0.011340875003952533,1.650000922381878e-05,0.007574333052616566,0.024209583003539592,0.011626790976151824,1.5208206605166197e-05,0.006566658345549606,0.02341159111630648,0.01146770595511336,7.22357790737065e-07,0.00012687617853527657,0.00016598128853126303,2.8864874239256193e-05
G4.2.3,25,100,1.5083991456776857e-05,0.006362458982039243,0.022676084015984088,0.01117445802083239,1.629203325137496e-05,0.007293291040696204,0.05027470801724121,0.011405582947190851,1.540019875392318e-05,0.006507641401126861,0.023668249003686616,0.011328454892333997,5.049155254057562e-07,0.0001108867796899681,0.004158800827548274,2.377900747568121e-05
G2.3.1,50,10,4.374998388811946e-05,0.0021531250094994903,0.008038375002797693,0.003947207995224744,4.483398515731096e-05,0.0047883749939501286,0.008649999974295497,0.004664040985517204,4.401048499858007e-05,0.002215967410984779,0.00820231330441311,0.004053043728195528,3.550159386026419e-07,0.00012897367180353755,6.415034352922975e-05,7.548207307631816e-05
G2.3.2,50,10,3.950000973418355e-05,0.0020000420045107603,0.0074787919875234365,0.0036855420330539346,4.037498729303479e-05,0.0023724579950794578,0.008076749974861741,0.004394125018734485,3.9644469507038596e-05,0.0020516321089798432,0.0076267972524250065,0.0037764110821522636,2.0943542700002981e-07,3.844308895704687e-05,7.292561910961353e-05,7.061483538241086e-05
